                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.4404,                  1.323,                 1.6129,                0.61144,                0.56467,                0.60894,                0.29887,                 1.8695,                 1.5464,                 1.9869,              0.0025131,              0.0025131,              0.0025131
                    124,                 1.4446,                 1.3027,                 1.6062,                0.58303,                0.57413,                0.60095,                0.29625,                 1.8607,                 1.5313,                 1.9733,              0.0024513,              0.0024513,              0.0024513
                    125,                 1.4514,                 1.2908,                  1.595,                0.60171,                0.56309,                0.59524,                0.29409,                 1.8325,                 1.5544,                 1.9586,              0.0023894,              0.0023894,              0.0023894
                    126,                 1.4419,                 1.2868,                 1.5955,                0.60015,                0.58991,                0.62018,                0.30557,                 1.8119,                 1.5234,                 1.9388,              0.0023275,              0.0023275,              0.0023275
                    127,                 1.4418,                 1.3121,                 1.6188,                0.64805,                0.48107,                0.51812,                0.24922,                 1.9665,                 1.9645,                 2.1488,              0.0022656,              0.0022656,              0.0022656
                    128,                 1.4218,                 1.2831,                 1.5899,                0.63374,                0.57729,                0.61456,                0.29852,                 1.8689,                 1.5373,                 1.9735,              0.0022038,              0.0022038,              0.0022038
                    129,                 1.4158,                 1.2921,                 1.5834,                0.65698,                0.52565,                0.59506,                0.28263,                 1.8861,                 1.5717,                 1.9979,              0.0021419,              0.0021419,              0.0021419
                    130,                  1.386,                 1.2629,                 1.5781,                0.59366,                0.56782,                0.59778,                0.28589,                 1.8992,                 1.6095,                 1.9809,                0.00208,                0.00208,                0.00208
                    131,                 1.4102,                 1.2566,                 1.5718,                0.64824,                0.55994,                0.62196,                0.30383,                 1.8444,                 1.4977,                 1.9729,              0.0020181,              0.0020181,              0.0020181
                    132,                 1.3805,                  1.222,                 1.5517,                 0.3625,                0.14038,                0.11936,                0.05952,                 2.5784,                   3.79,                 2.8508,              0.0019563,              0.0019563,              0.0019563
                    133,                 1.4021,                 1.2405,                 1.5488,                0.64437,                0.52014,                0.58252,                0.27995,                 1.8916,                 1.5359,                 2.0019,              0.0018944,              0.0018944,              0.0018944
                    134,                 1.3955,                 1.2332,                 1.5698,                0.61416,                0.52997,                0.58796,                0.28531,                 1.8836,                 1.5307,                 1.9872,              0.0018325,              0.0018325,              0.0018325
                    135,                 1.3722,                 1.1953,                 1.5449,                0.63195,                0.56309,                0.59842,                0.29149,                 1.8897,                 1.5401,                 2.0138,              0.0017706,              0.0017706,              0.0017706
                    136,                 1.3626,                 1.1925,                 1.5333,                0.69368,                0.51262,                0.60876,                0.29593,                  1.881,                 1.4908,                 2.0117,              0.0017087,              0.0017087,              0.0017087
                    137,                 1.3718,                 1.2122,                 1.5516,                0.68087,                 0.5489,                0.63049,                0.30003,                 1.8893,                 1.4769,                  1.997,              0.0016469,              0.0016469,              0.0016469
                    138,                 1.3701,                 1.1908,                 1.5449,                0.64675,                0.57886,                0.62838,                 0.3027,                 1.8912,                 1.4875,                 2.0159,               0.001585,               0.001585,               0.001585
                    139,                  1.345,                 1.1828,                 1.5215,                0.63139,                0.58202,                0.61719,                0.29612,                 1.8709,                  1.493,                 2.0123,              0.0015231,              0.0015231,              0.0015231
                    140,                  1.327,                 1.1599,                 1.5012,                0.64342,                0.54101,                0.59218,                0.28566,                  1.889,                 1.5356,                 2.0113,              0.0014612,              0.0014612,              0.0014612
                    141,                 1.3179,                 1.1487,                 1.5041,                0.62028,                0.56151,                0.59692,                0.29832,                 1.8806,                 1.5342,                 1.9877,              0.0013994,              0.0013994,              0.0013994
                    142,                 1.3521,                 1.1857,                 1.5385,                0.67995,                0.55363,                0.62839,                0.30637,                 1.8412,                 1.4821,                  1.985,              0.0013375,              0.0013375,              0.0013375
                    143,                 1.3505,                 1.1792,                 1.5365,                0.64599,                0.56412,                0.60813,                0.30115,                 1.8639,                  1.511,                 1.9928,              0.0012756,              0.0012756,              0.0012756
                    144,                  1.315,                 1.1441,                 1.5014,                0.64132,                0.55836,                0.61333,                0.30969,                   1.87,                 1.4721,                 1.9938,              0.0012138,              0.0012138,              0.0012138
                    145,                 1.2891,                 1.1239,                 1.4857,                0.65312,                0.58517,                0.61776,                0.30292,                 1.8777,                 1.4887,                 1.9951,              0.0011519,              0.0011519,              0.0011519
                    146,                 1.3317,                 1.1498,                 1.5221,                0.63521,                0.58777,                0.62686,                0.30897,                 1.8727,                  1.466,                 2.0144,                0.00109,                0.00109,                0.00109
                    147,                 1.2869,                 1.1118,                 1.4785,                0.64626,                0.51735,                0.57512,                0.26916,                 1.9586,                  1.586,                 2.1431,              0.0010281,              0.0010281,              0.0010281
                    148,                 1.3073,                 1.1187,                 1.4888,                0.65684,                0.57256,                   0.62,                0.30093,                 1.8687,                 1.4733,                 2.0061,             0.00096625,             0.00096625,             0.00096625
                    149,                 1.2707,                 1.0971,                 1.4764,                0.64395,                0.58675,                0.63032,                0.31674,                 1.8775,                 1.4554,                 2.0046,             0.00090438,             0.00090438,             0.00090438
                    150,                  1.313,                 1.1304,                 1.5125,                0.67444,                0.54568,                 0.6197,                0.30955,                  1.876,                 1.4798,                 2.0005,              0.0008425,              0.0008425,              0.0008425
